,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL
0,29,24,10.458333333333334,12.968118654965933,2872,2768,0,0
1,29,24,10.966666666666669,11.021869587116436,2872,2726,0,0
2,29,24,8.6,14.131131904022718,2872,2712,0,0
3,29,24,14.659090909090908,14.228930865421292,2872,2644,0,0
4,29,24,10.41304347826087,14.3039638437222,2872,2683,0,0
5,29,24,8.185185185185185,10.9158918626329,2872,2822,0,0
6,29,24,17.49056603773585,20.08311828521794,2872,2758,0,0
7,29,24,16.620689655172413,20.407305752568558,2872,2747,1,1
8,29,24,20.025641025641026,28.29030629914292,2872,2723,1,-1
9,29,24,24.30555555555556,59.99277072850145,2872,2660,1,1
10,29,24,12.55813953488372,18.6755535719336,2872,2758,0,0
11,29,24,8.666666666666666,10.964878997443224,2872,2731,0,0
12,29,24,2.235294117647059,4.159751123777085,2872,2765,0,0
13,29,24,18.794117647058822,21.322600631318625,2863,2767,1,-1
14,29,24,8.566666666666666,8.861708924212715,2863,2767,0,0
15,29,24,13.294117647058824,20.81181790968493,2863,2728,1,1
16,29,24,20.377777777777776,47.31148663566564,2863,2728,0,0
17,29,24,11.44,16.20299795893164,2863,2633,1,-1
18,29,24,41.564516129032256,74.66111876124053,2863,2828,1,1
19,29,24,22.56,37.22799126105696,2863,2757,-1,1
20,29,24,14.564102564102564,18.00993128335889,2863,2757,1,1
21,29,24,15.931818181818182,16.27438810663071,2863,2828,1,-1
22,29,24,7.27536231884058,13.38225785263615,2863,2828,0,0
23,29,24,34.05263157894737,105.02302826602086,2863,2633,1,1
24,29,24,15.025641025641026,21.783005422488586,2863,2728,1,-1
25,29,24,11.044117647058824,14.553487373554878,2863,2767,-1,-1
26,30,25,5.3090909090909095,8.719651554524598,2862,2749,1,1
27,30,25,6.155172413793103,8.484871416362664,2862,2679,0,0
28,30,25,10.117647058823527,14.963168125473471,2862,2625,0,0
29,30,25,14.52,19.73005580430061,2862,2671,0,0
30,30,25,7.344827586206897,11.133206001061373,2862,2668,0,0
31,30,25,29.72972972972973,32.30122860464242,2862,2743,0,0
32,30,25,26.15625,64.36557759676424,2862,2732,0,0
33,30,25,8.21951219512195,13.235392315911817,2862,2677,-1,1
34,30,25,13.195121951219512,15.522917754396442,2862,2663,1,1
35,30,25,8.647058823529411,11.023067694175442,2862,2823,0,0
36,30,25,20.128205128205128,26.6617994883469,2862,2764,0,0
37,30,25,16.470588235294116,22.73594843323333,2862,2705,0,0
38,30,25,20.05263157894737,108.91671371426789,2862,2784,1,1
39,30,25,11.461538461538462,13.804740135273436,2847,2548,1,-1
40,30,25,35.932432432432435,64.44267519108004,2847,2548,1,1
41,30,25,26.37142857142857,43.68273700908681,2847,2639,1,1
42,30,25,45.333333333333336,135.18290079246958,2847,2639,1,-1
43,30,25,9.055555555555555,12.233313870491848,2847,2691,0,0
44,30,25,15.787234042553193,27.22286137263309,2847,2691,0,0
45,30,25,10.73913043478261,10.58823271073879,2847,2691,0,0
46,30,25,9.485714285714286,13.021185065277344,2847,2691,1,1
47,30,25,12.085106382978724,17.013843196483375,2847,2716,0,0
48,30,25,9.129411764705882,11.058059154702857,2847,2716,0,0
