,Elo
0,0
1,0
2,2542
3,2542
4,2542
5,2542
6,2542
7,2542
8,2542
9,2542
10,2542
11,2542
12,2542
13,2542
14,2542
15,2542
16,2542
17,2542
18,2542
19,2542
20,2542
21,2542
22,2542
23,2542
24,2542
25,2542
26,2542
27,2542
28,2542
29,2563
30,2563
31,2563
32,2563
33,2563
34,2563
35,2563
36,2563
37,2563
38,2563
39,2563
40,2563
41,2563
42,2563
43,2563
44,2563
45,2563
46,2563
47,2563
48,2563
49,2563
50,2563
51,2563
52,2563
53,2563
54,2563
55,2563
56,2578
57,2578
58,2578
59,2578
60,2578
61,2578
62,2578
63,2578
64,2578
65,2578
66,2578
67,2578
68,2578
69,2578
70,2578
71,2578
72,2578
73,2578
74,2578
75,2578
76,2578
77,2578
78,2578
79,2578
80,2578
81,2578
82,2578
83,2578
84,2578
85,2578
86,2578
87,2578
88,2578
89,2578
90,2599
91,2599
92,2599
93,2599
94,2599
95,2599
96,2578
97,2578
98,2578
99,2578
100,2578
101,2578
102,2578
103,2578
104,2578
105,2599
106,2599
107,2599
108,2599
109,2599
110,2599
111,2599
112,2599
113,2599
114,2599
115,2599
116,2599
117,2599
118,2599
119,2599
120,2599
121,2599
122,2599
123,2599
124,2599
125,2599
126,2640
127,2599
128,2599
129,2599
130,2599
131,2599
132,2599
133,2599
134,2640
135,2640
136,2640
137,2640
138,2640
139,2640
140,2640
141,2640
142,2640
143,2640
144,2640
145,2640
146,2640
147,2640
148,2640
149,2640
150,2640
151,2640
152,2640
153,2640
154,2640
155,2640
156,2640
157,2614
158,2614
159,2614
160,2614
161,2614
162,2614
163,2614
164,2614
165,2614
166,2614
167,2614
168,2614
169,2614
170,2614
171,2614
172,2614
173,2614
174,2614
175,2614
176,2614
177,2614
178,2614
179,2614
180,2614
181,2614
182,2614
183,2614
184,2614
185,2614
186,2614
187,2637
188,2637
189,2637
190,2637
191,2637
192,2637
193,2637
194,2637
195,2637
196,2637
197,2637
198,2637
199,2637
200,2637
201,2637
202,2637
203,2637
204,2637
205,2640
206,2640
207,2640
208,2640
209,2637
210,2637
211,2637
212,2637
213,2637
214,2637
215,2637
216,2637
217,2637
218,2637
219,2637
220,2637
221,2637
222,2637
223,2637
224,2637
225,2637
226,2659
227,2659
228,2659
229,2659
230,2659
231,2659
232,2659
233,2659
234,2659
235,2684
236,2684
237,2684
238,2684
239,2684
240,2684
241,2684
242,2684
243,2684
244,2684
245,2684
246,2684
247,2684
248,2684
249,2684
250,2684
251,2684
252,2684
253,2684
254,2684
255,2684
256,2684
257,2684
258,2684
259,2684
260,2684
261,2684
262,2699
263,2699
264,2699
265,2699
266,2699
267,2699
268,2699
269,2699
270,2699
271,2699
272,2726
273,2726
274,2726
275,2726
276,2726
277,2726
278,2726
