,WElo,BElo,Elo
0,,,0.0
1,,,0.0
2,2459.0,,2459.0
3,,2459.0,2459.0
4,2459.0,,2459.0
5,,2459.0,2459.0
6,2459.0,,2459.0
7,,2459.0,2459.0
8,,2459.0,2459.0
9,2459.0,,2459.0
10,2465.0,,2465.0
11,,2465.0,2465.0
12,2465.0,,2465.0
13,,2465.0,2465.0
14,2465.0,,2465.0
15,,2465.0,2465.0
16,2465.0,,2465.0
17,,2465.0,2465.0
18,2465.0,,2465.0
19,,2465.0,2465.0
20,2465.0,,2465.0
21,,2465.0,2465.0
22,2465.0,,2465.0
23,,2465.0,2465.0
24,2465.0,,2465.0
25,,2465.0,2465.0
26,2465.0,,2465.0
27,,2465.0,2465.0
28,2465.0,,2465.0
29,,2465.0,2465.0
30,2465.0,,2465.0
31,,2465.0,2465.0
32,,2478.0,2478.0
33,2478.0,,2478.0
34,,2478.0,2478.0
35,2478.0,,2478.0
36,,2478.0,2478.0
37,2478.0,,2478.0
38,2478.0,,2478.0
39,2478.0,,2478.0
40,,2478.0,2478.0
41,,2478.0,2478.0
42,2478.0,,2478.0
43,,2478.0,2478.0
44,2478.0,,2478.0
45,,2478.0,2478.0
46,,2478.0,2478.0
47,2478.0,,2478.0
48,,2478.0,2478.0
49,2478.0,,2478.0
50,,2478.0,2478.0
51,2484.0,,2484.0
52,,2484.0,2484.0
53,,2484.0,2484.0
54,2484.0,,2484.0
55,2484.0,,2484.0
56,,2484.0,2484.0
57,2484.0,,2484.0
58,2484.0,,2484.0
59,,2484.0,2484.0
60,2484.0,,2484.0
61,,2484.0,2484.0
62,2484.0,,2484.0
63,,2484.0,2484.0
64,2484.0,,2484.0
65,2484.0,,2484.0
66,,2484.0,2484.0
67,2525.0,,2525.0
68,2525.0,,2525.0
69,,2525.0,2525.0
70,2525.0,,2525.0
71,,2525.0,2525.0
72,2525.0,,2525.0
73,,2525.0,2525.0
74,2525.0,,2525.0
75,,2525.0,2525.0
76,,2525.0,2525.0
77,2525.0,,2525.0
78,,2525.0,2525.0
79,2525.0,,2525.0
80,,2525.0,2525.0
81,,2525.0,2525.0
82,2525.0,,2525.0
83,,2525.0,2525.0
84,2525.0,,2525.0
85,,2525.0,2525.0
86,2525.0,,2525.0
87,,2525.0,2525.0
88,2525.0,,2525.0
89,,2525.0,2525.0
90,2525.0,,2525.0
91,2525.0,,2525.0
92,,2525.0,2525.0
93,2525.0,,2525.0
94,,2526.0,2526.0
95,2526.0,,2526.0
96,,2526.0,2526.0
97,2526.0,,2526.0
98,,2526.0,2526.0
99,2526.0,,2526.0
100,,2526.0,2526.0
101,2526.0,,2526.0
102,,2526.0,2526.0
103,,2526.0,2526.0
104,2526.0,,2526.0
105,,2526.0,2526.0
106,2526.0,,2526.0
107,,2526.0,2526.0
108,2526.0,,2526.0
109,,2526.0,2526.0
110,2526.0,,2526.0
111,,2526.0,2526.0
112,2526.0,,2526.0
113,,2526.0,2526.0
114,2526.0,,2526.0
115,,2526.0,2526.0
116,2526.0,,2526.0
117,,2508.0,2508.0
118,2508.0,,2508.0
119,,2508.0,2508.0
120,,2508.0,2508.0
121,2508.0,,2508.0
122,,2508.0,2508.0
123,2508.0,,2508.0
124,2508.0,,2508.0
125,,2508.0,2508.0
126,2508.0,,2508.0
127,,2508.0,2508.0
128,2508.0,,2508.0
129,,2508.0,2508.0
130,2508.0,,2508.0
131,,2508.0,2508.0
132,2508.0,,2508.0
133,,2508.0,2508.0
134,2508.0,,2508.0
135,2508.0,,2508.0
136,,2508.0,2508.0
137,,2508.0,2508.0
138,2508.0,,2508.0
139,,2508.0,2508.0
140,2508.0,,2508.0
141,,2508.0,2508.0
142,2508.0,,2508.0
143,2508.0,,2508.0
144,,2508.0,2508.0
145,2508.0,,2508.0
146,,2508.0,2508.0
147,2508.0,,2508.0
148,,2508.0,2508.0
149,,2508.0,2508.0
150,,2508.0,2508.0
151,2508.0,,2508.0
152,,2508.0,2508.0
153,2508.0,,2508.0
154,,2508.0,2508.0
155,2567.0,,2567.0
156,,2567.0,2567.0
157,2567.0,,2567.0
158,,2567.0,2567.0
159,2567.0,,2567.0
160,,2567.0,2567.0
161,2567.0,,2567.0
162,,2567.0,2567.0
163,2567.0,,2567.0
164,2567.0,,2567.0
165,,2567.0,2567.0
166,2567.0,,2567.0
167,,2567.0,2567.0
168,2571.0,,2571.0
169,,2571.0,2571.0
170,2571.0,,2571.0
171,,2571.0,2571.0
172,2571.0,,2571.0
173,2571.0,,2571.0
174,2567.0,,2567.0
175,2567.0,,2567.0
176,,2567.0,2567.0
177,2567.0,,2567.0
178,,2571.0,2571.0
179,2571.0,,2571.0
180,,2571.0,2571.0
181,,2571.0,2571.0
182,2571.0,,2571.0
183,,2571.0,2571.0
184,2571.0,,2571.0
185,,2571.0,2571.0
186,2571.0,,2571.0
187,,2571.0,2571.0
188,2571.0,,2571.0
189,,2606.0,2606.0
190,2606.0,,2606.0
191,,2606.0,2606.0
192,2606.0,,2606.0
193,,2606.0,2606.0
194,,2606.0,2606.0
195,2606.0,,2606.0
196,2606.0,,2606.0
197,,2606.0,2606.0
198,2606.0,,2606.0
199,2606.0,,2606.0
200,,2606.0,2606.0
201,2606.0,,2606.0
202,,2606.0,2606.0
203,2606.0,,2606.0
204,,2606.0,2606.0
205,,2606.0,2606.0
206,2606.0,,2606.0
207,,2606.0,2606.0
208,2606.0,,2606.0
209,,2606.0,2606.0
210,2606.0,,2606.0
211,,2606.0,2606.0
212,,2609.0,2609.0
213,,2609.0,2609.0
214,2609.0,,2609.0
215,,2609.0,2609.0
216,2609.0,,2609.0
217,,2609.0,2609.0
218,2609.0,,2609.0
219,,2609.0,2609.0
220,2609.0,,2609.0
221,,2609.0,2609.0
222,2609.0,,2609.0
223,,2609.0,2609.0
224,2609.0,,2609.0
225,,2609.0,2609.0
226,2609.0,,2609.0
227,,2609.0,2609.0
228,2609.0,,2609.0
229,,2609.0,2609.0
230,2609.0,,2609.0
231,,2609.0,2609.0
232,2609.0,,2609.0
233,2609.0,,2609.0
234,,2609.0,2609.0
235,2609.0,,2609.0
236,,2609.0,2609.0
237,2609.0,,2609.0
238,,2609.0,2609.0
239,2609.0,,2609.0
240,,2609.0,2609.0
241,2638.0,,2638.0
242,,2638.0,2638.0
243,2638.0,,2638.0
244,,2638.0,2638.0
245,2638.0,,2638.0
246,,2638.0,2638.0
247,2638.0,,2638.0
248,,2638.0,2638.0
249,,2638.0,2638.0
250,2638.0,,2638.0
251,,2638.0,2638.0
252,2635.0,,2635.0
253,,2635.0,2635.0
254,2635.0,,2635.0
255,2635.0,,2635.0
256,,2635.0,2635.0
257,,2635.0,2635.0
258,2635.0,,2635.0
259,2635.0,,2635.0
260,,2635.0,2635.0
261,,2635.0,2635.0
262,2645.0,,2645.0
263,,2645.0,2645.0
