,Mean_CP
0,10.458333333333334
1,10.966666666666667
2,8.6
3,14.659090909090908
4,10.41304347826087
5,8.185185185185185
6,17.49056603773585
7,16.620689655172413
8,20.025641025641026
9,24.305555555555557
10,12.55813953488372
11,8.666666666666666
12,2.235294117647059
13,18.794117647058822
14,8.566666666666666
15,13.294117647058824
16,20.377777777777776
17,11.44
18,41.564516129032256
19,22.56
20,14.564102564102564
21,15.931818181818182
22,7.27536231884058
23,34.05263157894737
24,15.025641025641026
25,11.044117647058824
26,5.3090909090909095
27,6.155172413793103
28,10.117647058823529
29,14.52
30,7.344827586206897
31,29.72972972972973
32,26.15625
33,8.21951219512195
34,13.195121951219512
35,8.647058823529411
36,20.128205128205128
37,16.470588235294116
38,20.05263157894737
39,11.461538461538462
40,35.932432432432435
41,26.37142857142857
42,45.333333333333336
43,9.055555555555555
44,15.787234042553191
45,10.73913043478261
46,9.485714285714286
47,12.085106382978724
48,9.129411764705882
49,25.0
50,41.698412698412696
51,43.950819672131146
52,22.906976744186046
53,33.20454545454545
54,13.789473684210526
55,8.064516129032258
56,8.546875
57,16.242424242424242
58,38.19178082191781
59,20.26829268292683
60,43.75
61,11.789473684210526
62,23.022222222222222
63,8.333333333333334
64,7.921052631578948
65,53.0377358490566
66,6.137254901960785
67,9.019607843137255
68,16.55263157894737
69,22.596153846153847
70,11.3125
71,14.857142857142858
72,14.151515151515152
73,20.676470588235293
74,27.68421052631579
75,12.568181818181818
76,13.578947368421053
77,6.6
78,9.90625
79,11.428571428571429
80,15.585185185185185
81,5.55
82,30.333333333333332
83,14.512820512820513
84,8.325
85,18.20408163265306
86,19.523809523809526
87,14.742857142857142
88,11.027027027027026
89,25.313725490196077
90,19.32075471698113
91,12.566666666666666
92,26.705882352941178
93,14.529411764705882
94,19.96153846153846
95,8.4375
96,10.1
97,17.693877551020407
98,
99,13.542168674698795
100,7.543478260869565
101,3.945945945945946
102,11.2
103,24.303030303030305
104,23.65
105,12.818181818181818
106,17.545454545454547
107,14.75
108,17.012820512820515
109,13.382352941176471
110,9.835443037974683
111,6.3090909090909095
112,25.448275862068964
113,14.76923076923077
114,31.575
115,13.823529411764707
116,15.951219512195122
117,14.851063829787234
118,18.15909090909091
119,13.476190476190476
120,6.555555555555555
121,33.410714285714285
122,
