,WhiteWinLoss
0,0
1,0
2,1
3,0
4,1
5,1
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,1
127,1
128,0
129,0
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,0
213,0
214,0
215,1
216,0
217,1
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,0
254,1
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,1
