,WinLoss
0,1
1,1
2,0
3,1
4,1
5,1
6,1/2
7,1
8,0
9,1
10,1
11,1
12,1/2
13,1
14,1
15,0
16,1/2
17,1/2
18,1/2
19,0
20,0
21,1/2
22,0
23,1/2
24,0
25,0
26,1/2
27,1
28,0
29,0
30,1
31,1/2
32,0
33,1/2
34,1/2
35,0
36,0
37,0
38,1
39,0
40,1/2
41,0
42,0
43,1/2
44,0
45,1/2
46,0
47,0
48,0
49,1
50,1
51,0
52,1/2
53,1/2
54,1
55,1/2
56,1/2
57,1/2
58,1
59,1
60,0
61,1
62,0
63,1/2
64,1
65,0
66,0
67,1/2
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,1/2
77,0
78,1/2
79,1/2
80,1/2
81,1
82,1
83,0
84,1
85,1/2
86,1
87,0
88,1
89,0
90,1
91,1/2
92,0
93,1
94,0
95,1
96,1/2
97,0
98,1
99,0
100,1/2
101,1/2
102,1/2
103,1/2
104,1/2
105,0
106,0
107,1/2
108,1
109,0
110,1/2
111,0
112,1
113,1/2
114,1/2
115,0
116,1/2
117,1
118,1
119,0
120,1
121,0
122,1
123,1/2
124,0
125,1
126,0
127,1/2
128,1/2
129,1/2
130,1
131,1
132,1
133,1
134,1/2
135,1/2
136,1/2
137,1/2
138,0
139,1
140,1/2
141,1
142,1/2
143,1
144,1/2
145,1/2
146,1/2
147,0
148,1/2
149,0
150,1/2
151,0
152,1/2
153,0
154,1
155,1
156,1
157,1/2
158,0
159,1
160,0
161,1
162,1
163,1/2
164,1
165,0
166,1/2
167,1/2
168,1/2
169,0
170,0
171,1
172,0
173,1
174,1/2
175,1
176,1/2
177,1/2
178,0
179,1/2
180,1/2
181,1
182,1
183,0
184,1
185,1/2
186,1
187,1/2
188,1
189,1/2
190,0
191,1
192,0
193,1
194,0
195,1
196,1/2
197,1/2
198,0
199,1
200,1/2
201,1
202,1
203,0
204,1/2
205,1
206,1/2
207,1/2
208,1/2
209,1/2
210,1/2
211,1/2
212,1
213,0
214,1
215,0
216,1
217,1/2
218,0
219,0
220,1/2
221,1
222,1
223,1
224,1/2
225,1/2
226,1/2
227,1/2
228,1/2
229,1/2
230,0
231,1/2
232,1/2
233,1
234,1/2
235,1/2
236,0
237,1/2
238,1/2
239,1
240,1
241,1
242,0
243,1/2
244,1/2
245,1
246,0
247,1
248,0
249,1/2
250,1
251,1/2
252,1
253,1/2
254,1
255,1/2
256,1
257,1/2
258,1
259,1
260,0
261,1
262,1/2
263,1/2
264,0
265,1
266,0
267,0
268,1/2
269,0
270,1
271,1/2
272,1
273,1
274,1/2
275,0
276,1/2
277,0
278,1
279,0
