,WinLoss
0,0
1,0
2,1
3,1/2
4,1
5,0
6,1
7,1
8,1/2
9,1/2
10,0
11,1
12,1
13,1
14,1
15,1/2
16,1
17,1
18,1/2
19,1
20,1
21,1
22,1/2
23,1
24,1/2
25,1
26,1/2
27,1
28,1
29,1
30,1/2
31,1
32,1/2
33,1
34,1/2
35,1/2
36,0
37,0
38,1
39,1
40,1
41,1/2
42,1
43,1
44,1
45,1/2
46,1
47,1
48,1
49,1
50,1
51,1
52,1/2
53,1
54,1
55,1
56,1/2
57,1/2
58,1
59,1/2
60,1/2
61,1/2
62,0
63,1/2
64,1
65,0
66,1/2
67,1
68,1
69,1/2
70,1
71,1
72,1/2
73,1/2
74,1
75,1
76,1
77,1/2
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,1/2
95,1/2
96,1
97,1
98,1
99,1
100,1
101,1/2
102,0
103,1/2
104,1/2
105,1
106,1
107,1
108,1
109,1
110,1/2
111,1
112,1
113,1
114,1/2
115,1
116,1
117,1/2
118,1
119,1
120,1/2
121,1/2
122,1
123,1
124,1/2
125,1/2
126,1
127,1
128,1
129,1/2
130,0
131,1
132,1/2
133,1
134,1/2
135,1
136,0
137,1
138,1/2
139,1
140,1
141,1
142,0
143,1
144,1/2
145,1/2
146,1
147,1/2
148,1/2
149,1/2
150,0
151,0
152,1/2
153,0
154,1/2
155,1
156,1/2
157,1
158,1
159,1
160,1
161,1/2
162,1
163,1/2
164,1/2
165,1/2
166,1
167,1/2
168,1
169,1
170,1
171,1
172,1/2
173,1/2
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,1/2
186,1
187,1
188,1
189,1/2
190,1
191,1/2
192,1/2
193,1/2
194,1
195,0
196,1
197,1
198,1
199,1
200,1/2
201,1/2
202,1
203,1
204,1
205,1
206,0
207,1/2
208,1/2
209,1
210,1
211,1
212,1
213,1/2
214,1/2
215,1
216,1
217,1
218,1
219,1/2
220,1
221,1/2
222,1/2
223,1
224,1
225,1/2
226,1
227,0
228,1
229,1/2
230,1/2
231,1
232,1/2
233,1/2
234,1
235,1
236,1
237,1
238,1
239,1
240,1/2
241,1
242,1
243,1/2
244,1
245,1/2
246,1
247,0
248,1
249,1/2
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1/2
260,0
261,1/2
262,1
263,1
264,1
265,0
266,0
267,1
268,1/2
269,1
270,1/2
271,1/2
272,1
273,1
274,1/2
275,1
276,0
277,1/2
278,1
