,WinLoss
0,0
1,0
2,1
3,0
4,1
5,0
6,0
7,1
8,1/2
9,1
10,1
11,1/2
12,1
13,1/2
14,1
15,1
16,1/2
17,1
18,1/2
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,0
28,1/2
29,1
30,1
31,1/2
32,1
33,1
34,0
35,1
36,1
37,1
38,1/2
39,1
40,1
41,1/2
42,0
43,0
44,1
45,0
46,1/2
47,1
48,1
49,1
50,1/2
51,1
52,1/2
53,1/2
54,1/2
55,1
56,1/2
57,1/2
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,1/2
72,0
73,1/2
74,1
75,1
76,1
77,1/2
78,1/2
79,1/2
80,1/2
81,1/2
82,0
83,1
84,1
85,1
86,1
87,1
88,1/2
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,1
102,1
103,1
104,1/2
105,0
106,1
107,1/2
108,1
109,1
110,0
111,0
112,1
113,1
114,1/2
115,0
116,0
117,1
118,1
119,1
120,1/2
121,1/2
122,1/2
123,1
124,1/2
125,0
126,1
127,1
128,1/2
129,1/2
130,1
131,1
132,1
133,1/2
134,1
135,1
136,1
137,1
138,1
139,1
140,1/2
141,1/2
142,1/2
143,1
144,1/2
145,1
146,1/2
147,1
148,1/2
149,1/2
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,1/2
158,1
159,1
160,1/2
161,0
162,1
163,0
164,1
165,1/2
166,1
167,1
168,1
169,1
170,1/2
171,1
172,1
173,1
174,0
175,1/2
176,1
177,1
178,1/2
179,1/2
180,1/2
181,1
182,1
183,1
184,1/2
185,1
186,1/2
187,0
188,1/2
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1/2
199,1/2
200,1/2
201,1
202,1/2
203,1
204,1
205,1
206,1
207,1/2
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,1/2
217,1
218,1/2
219,1/2
220,1
221,0
222,1
223,1/2
224,1
225,1/2
226,1/2
227,1
228,1/2
229,0
230,1
231,1
232,1/2
233,1/2
234,1
235,1/2
236,1/2
237,1
238,1/2
239,1/2
240,1/2
241,1/2
242,0
243,1/2
244,1/2
245,1/2
246,1
247,1
248,1/2
249,1/2
250,0
251,1/2
252,1
253,1
254,1/2
255,1
256,1/2
257,0
258,1
259,1
260,1
261,1/2
262,1
263,1
264,1/2
265,1
266,1/2
267,0
268,1
269,0
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,1
280,1/2
281,1/2
282,1/2
283,1
284,0
285,1/2
286,1
287,0
288,0
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,1/2
297,1
298,1/2
299,1
300,1
301,1/2
302,1
303,1
304,1
305,1/2
306,1
307,1/2
308,1/2
309,1
310,1
311,1
312,1/2
313,1/2
314,1/2
315,1
316,0
317,1
318,1/2
319,1
320,1
321,1
322,1/2
323,0
324,1
325,1/2
326,0
327,1
328,1/2
329,1
330,1/2
331,1
332,1
333,1
334,1/2
335,1/2
336,1
337,0
338,1/2
339,1/2
340,0
341,1
342,1/2
343,1/2
344,0
345,1/2
346,1
347,1/2
348,0
349,1
350,1/2
351,1/2
352,1
353,1/2
354,1
355,1
356,1/2
357,1/2
358,0
359,1/2
360,0
361,1/2
